"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","061030002021","CA","061030002021","=""061030002021""","74.18","2019-2023","2022","Census","California (State)"
"Block Group","061030002022","CA","061030002022","=""061030002022""","92.86","2019-2023","2022","Census","California (State)"
"Block Group","061030002023","CA","061030002023","=""061030002023""","89.42","2019-2023","2022","Census","California (State)"
"Block Group","061030003001","CA","061030003001","=""061030003001""","81.94","2019-2023","2022","Census","California (State)"
"Block Group","061030003002","CA","061030003002","=""061030003002""","91.70","2019-2023","2022","Census","California (State)"
"Block Group","061030003003","CA","061030003003","=""061030003003""","79.51","2019-2023","2022","Census","California (State)"
"Block Group","061030004001","CA","061030004001","=""061030004001""","93.61","2019-2023","2022","Census","California (State)"
"Block Group","061030004002","CA","061030004002","=""061030004002""","96.60","2019-2023","2022","Census","California (State)"
"Block Group","061030004003","CA","061030004003","=""061030004003""","64.09","2019-2023","2022","Census","California (State)"
"Block Group","061030005001","CA","061030005001","=""061030005001""","94.46","2019-2023","2022","Census","California (State)"
"Block Group","061030005002","CA","061030005002","=""061030005002""","89.33","2019-2023","2022","Census","California (State)"
"Block Group","061030005003","CA","061030005003","=""061030005003""","76.30","2019-2023","2022","Census","California (State)"
"Block Group","061030005004","CA","061030005004","=""061030005004""","83.80","2019-2023","2022","Census","California (State)"
"Block Group","061030005005","CA","061030005005","=""061030005005""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","061030006001","CA","061030006001","=""061030006001""","88.26","2019-2023","2022","Census","California (State)"
"Block Group","061030006002","CA","061030006002","=""061030006002""","91.98","2019-2023","2022","Census","California (State)"
"Block Group","061030006003","CA","061030006003","=""061030006003""","95.22","2019-2023","2022","Census","California (State)"
"Block Group","061030007011","CA","061030007011","=""061030007011""","87.91","2019-2023","2022","Census","California (State)"
"Block Group","061030007012","CA","061030007012","=""061030007012""","79.91","2019-2023","2022","Census","California (State)"
"Block Group","061030007013","CA","061030007013","=""061030007013""","71.18","2019-2023","2022","Census","California (State)"
