"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Block Group","060952507011","CA","060952507011","=""060952507011""","2921.23","2019-2023","2022","Census","California (State)"
"Block Group","060952507012","CA","060952507012","=""060952507012""","7148.72","2019-2023","2022","Census","California (State)"
"Block Group","060952508011","CA","060952508011","=""060952508011""","7600.66","2019-2023","2022","Census","California (State)"
"Block Group","060952508012","CA","060952508012","=""060952508012""","7278.61","2019-2023","2022","Census","California (State)"
"Block Group","060952508013","CA","060952508013","=""060952508013""","687.39","2019-2023","2022","Census","California (State)"
"Block Group","060952508014","CA","060952508014","=""060952508014""","63.82","2019-2023","2022","Census","California (State)"
"Block Group","060952509001","CA","060952509001","=""060952509001""","5005.60","2019-2023","2022","Census","California (State)"
"Block Group","060952509002","CA","060952509002","=""060952509002""","8668.86","2019-2023","2022","Census","California (State)"
"Block Group","060952509003","CA","060952509003","=""060952509003""","17845.75","2019-2023","2022","Census","California (State)"
"Block Group","060952510001","CA","060952510001","=""060952510001""","5950.69","2019-2023","2022","Census","California (State)"
"Block Group","060952510002","CA","060952510002","=""060952510002""","10311.71","2019-2023","2022","Census","California (State)"
"Block Group","060952510003","CA","060952510003","=""060952510003""","6410.62","2019-2023","2022","Census","California (State)"
"Block Group","060952511001","CA","060952511001","=""060952511001""","7336.15","2019-2023","2022","Census","California (State)"
"Block Group","060952511002","CA","060952511002","=""060952511002""","6797.61","2019-2023","2022","Census","California (State)"
"Block Group","060952512001","CA","060952512001","=""060952512001""","6398.98","2019-2023","2022","Census","California (State)"
"Block Group","060952512002","CA","060952512002","=""060952512002""","6350.09","2019-2023","2022","Census","California (State)"
"Block Group","060952512003","CA","060952512003","=""060952512003""","8017.00","2019-2023","2022","Census","California (State)"
"Block Group","060952513001","CA","060952513001","=""060952513001""","2950.76","2019-2023","2022","Census","California (State)"
"Block Group","060952513002","CA","060952513002","=""060952513002""","8699.26","2019-2023","2022","Census","California (State)"
"Block Group","060952513003","CA","060952513003","=""060952513003""","6445.67","2019-2023","2022","Census","California (State)"
"Block Group","060952514001","CA","060952514001","=""060952514001""","7834.82","2019-2023","2022","Census","California (State)"
"Block Group","060952514002","CA","060952514002","=""060952514002""","6082.22","2019-2023","2022","Census","California (State)"
"Block Group","060952514003","CA","060952514003","=""060952514003""","6593.92","2019-2023","2022","Census","California (State)"
"Block Group","060952515001","CA","060952515001","=""060952515001""","4710.51","2019-2023","2022","Census","California (State)"
"Block Group","060952515002","CA","060952515002","=""060952515002""","6653.31","2019-2023","2022","Census","California (State)"
"Block Group","060952515003","CA","060952515003","=""060952515003""","10073.43","2019-2023","2022","Census","California (State)"
"Block Group","060952516001","CA","060952516001","=""060952516001""","10575.32","2019-2023","2022","Census","California (State)"
"Block Group","060952516002","CA","060952516002","=""060952516002""","6639.73","2019-2023","2022","Census","California (State)"
"Block Group","060952517011","CA","060952517011","=""060952517011""","7746.19","2019-2023","2022","Census","California (State)"
"Block Group","060952517012","CA","060952517012","=""060952517012""","4688.74","2019-2023","2022","Census","California (State)"
