"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Per Capita Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","apci","TimeFrame","GeoVintage","Source","Location"
"Block Group","060670082063","CA","060670082063","=""060670082063""","39059","2019-2023","2022","Census","California (State)"
"Block Group","060670082071","CA","060670082071","=""060670082071""","38818","2019-2023","2022","Census","California (State)"
"Block Group","060670082072","CA","060670082072","=""060670082072""","44207","2019-2023","2022","Census","California (State)"
"Block Group","060670082073","CA","060670082073","=""060670082073""","60068","2019-2023","2022","Census","California (State)"
"Block Group","060670082074","CA","060670082074","=""060670082074""","47176","2019-2023","2022","Census","California (State)"
"Block Group","060670082075","CA","060670082075","=""060670082075""","45670","2019-2023","2022","Census","California (State)"
"Block Group","060670082081","CA","060670082081","=""060670082081""","52683","2019-2023","2022","Census","California (State)"
"Block Group","060670082082","CA","060670082082","=""060670082082""","48918","2019-2023","2022","Census","California (State)"
"Block Group","060670082083","CA","060670082083","=""060670082083""","32905","2019-2023","2022","Census","California (State)"
"Block Group","060670082084","CA","060670082084","=""060670082084""","39579","2019-2023","2022","Census","California (State)"
"Block Group","060670082091","CA","060670082091","=""060670082091""","69405","2019-2023","2022","Census","California (State)"
"Block Group","060670082092","CA","060670082092","=""060670082092""","56946","2019-2023","2022","Census","California (State)"
"Block Group","060670082101","CA","060670082101","=""060670082101""","74504","2019-2023","2022","Census","California (State)"
"Block Group","060670082102","CA","060670082102","=""060670082102""","64056","2019-2023","2022","Census","California (State)"
"Block Group","060670082103","CA","060670082103","=""060670082103""","52213","2019-2023","2022","Census","California (State)"
"Block Group","060670082111","CA","060670082111","=""060670082111""","47275","2019-2023","2022","Census","California (State)"
"Block Group","060670082112","CA","060670082112","=""060670082112""","54994","2019-2023","2022","Census","California (State)"
"Block Group","060670084021","CA","060670084021","=""060670084021""","68516","2019-2023","2022","Census","California (State)"
"Block Group","060670084022","CA","060670084022","=""060670084022""","43191","2019-2023","2022","Census","California (State)"
"Block Group","060670084023","CA","060670084023","=""060670084023""","41218","2019-2023","2022","Census","California (State)"
"Block Group","060670084031","CA","060670084031","=""060670084031""","48611","2019-2023","2022","Census","California (State)"
"Block Group","060670084032","CA","060670084032","=""060670084032""","57979","2019-2023","2022","Census","California (State)"
"Block Group","060670084033","CA","060670084033","=""060670084033""","67624","2019-2023","2022","Census","California (State)"
"Block Group","060670084041","CA","060670084041","=""060670084041""","74407","2019-2023","2022","Census","California (State)"
"Block Group","060670084042","CA","060670084042","=""060670084042""","55067","2019-2023","2022","Census","California (State)"
"Block Group","060670084043","CA","060670084043","=""060670084043""","25426","2019-2023","2022","Census","California (State)"
"Block Group","060670085011","CA","060670085011","=""060670085011""","69574","2019-2023","2022","Census","California (State)"
"Block Group","060670085012","CA","060670085012","=""060670085012""","43403","2019-2023","2022","Census","California (State)"
"Block Group","060670085013","CA","060670085013","=""060670085013""","71639","2019-2023","2022","Census","California (State)"
"Block Group","060670085014","CA","060670085014","=""060670085014""","74690","2019-2023","2022","Census","California (State)"
"Block Group","060670085041","CA","060670085041","=""060670085041""","68540","2019-2023","2022","Census","California (State)"
"Block Group","060670085042","CA","060670085042","=""060670085042""","56391","2019-2023","2022","Census","California (State)"
"Block Group","060670085043","CA","060670085043","=""060670085043""","64675","2019-2023","2022","Census","California (State)"
"Block Group","060670085051","CA","060670085051","=""060670085051""","66511","2019-2023","2022","Census","California (State)"
