"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","National Walkability Index","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","natwalkind","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014062013","CA","060014062013","=""060014062013""","14.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014062014","CA","060014062014","=""060014062014""","15.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014062021","CA","060014062021","=""060014062021""","13.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014062022","CA","060014062022","=""060014062022""","13.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014062023","CA","060014062023","=""060014062023""","16.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014063001","CA","060014063001","=""060014063001""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014063002","CA","060014063002","=""060014063002""","15.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014063003","CA","060014063003","=""060014063003""","13.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014063004","CA","060014063004","=""060014063004""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014064001","CA","060014064001","=""060014064001""","16.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014064002","CA","060014064002","=""060014064002""","13.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014065001","CA","060014065001","=""060014065001""","12.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014065002","CA","060014065002","=""060014065002""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014065003","CA","060014065003","=""060014065003""","16.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014065004","CA","060014065004","=""060014065004""","14.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014066011","CA","060014066011","=""060014066011""","14.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014066012","CA","060014066012","=""060014066012""","11.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014066013","CA","060014066013","=""060014066013""","14.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014066014","CA","060014066014","=""060014066014""","14.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014066021","CA","060014066021","=""060014066021""","18.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014066022","CA","060014066022","=""060014066022""","12.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014067001","CA","060014067001","=""060014067001""","10.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014067002","CA","060014067002","=""060014067002""","13.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014067003","CA","060014067003","=""060014067003""","14.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014067004","CA","060014067004","=""060014067004""","16.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014067005","CA","060014067005","=""060014067005""","12.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014068001","CA","060014068001","=""060014068001""","13.83","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014068002","CA","060014068002","=""060014068002""","14.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014068003","CA","060014068003","=""060014068003""","15.67","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014068004","CA","060014068004","=""060014068004""","16.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014069001","CA","060014069001","=""060014069001""","15.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014069002","CA","060014069002","=""060014069002""","12.00","2021","2010","EPA Smart Location Database","California (State)"
