"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within 45 Minutes Auto Travel Time","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5ar","TimeFrame","GeoVintage","Source","Location"
"Block Group","060590635006","CA","060590635006","=""060590635006""","155761","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636011","CA","060590636011","=""060590636011""","192793","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636012","CA","060590636012","=""060590636012""","202003","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636013","CA","060590636013","=""060590636013""","188362","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636031","CA","060590636031","=""060590636031""","137404","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636032","CA","060590636032","=""060590636032""","144185","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636033","CA","060590636033","=""060590636033""","183988","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636034","CA","060590636034","=""060590636034""","188323","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636041","CA","060590636041","=""060590636041""","215783","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636042","CA","060590636042","=""060590636042""","207550","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636051","CA","060590636051","=""060590636051""","235852","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636052","CA","060590636052","=""060590636052""","238344","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590636053","CA","060590636053","=""060590636053""","231578","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637011","CA","060590637011","=""060590637011""","237824","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637012","CA","060590637012","=""060590637012""","233854","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637013","CA","060590637013","=""060590637013""","277775","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637014","CA","060590637014","=""060590637014""","243193","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637021","CA","060590637021","=""060590637021""","274874","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637022","CA","060590637022","=""060590637022""","262132","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637023","CA","060590637023","=""060590637023""","266680","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637024","CA","060590637024","=""060590637024""","254348","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590637025","CA","060590637025","=""060590637025""","256129","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638021","CA","060590638021","=""060590638021""","288628","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638022","CA","060590638022","=""060590638022""","258994","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638031","CA","060590638031","=""060590638031""","251739","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638032","CA","060590638032","=""060590638032""","210362","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638033","CA","060590638033","=""060590638033""","225823","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638034","CA","060590638034","=""060590638034""","223811","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638051","CA","060590638051","=""060590638051""","248692","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638052","CA","060590638052","=""060590638052""","285848","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638061","CA","060590638061","=""060590638061""","309018","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638062","CA","060590638062","=""060590638062""","274410","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638063","CA","060590638063","=""060590638063""","232379","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638071","CA","060590638071","=""060590638071""","258034","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638072","CA","060590638072","=""060590638072""","271718","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638081","CA","060590638081","=""060590638081""","269661","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590638082","CA","060590638082","=""060590638082""","272307","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639021","CA","060590639021","=""060590639021""","301332","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639022","CA","060590639022","=""060590639022""","303260","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639023","CA","060590639023","=""060590639023""","284967","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639024","CA","060590639024","=""060590639024""","312069","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639031","CA","060590639031","=""060590639031""","307954","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639032","CA","060590639032","=""060590639032""","299011","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639041","CA","060590639041","=""060590639041""","283414","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639042","CA","060590639042","=""060590639042""","282803","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639043","CA","060590639043","=""060590639043""","261677","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639051","CA","060590639051","=""060590639051""","271419","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639052","CA","060590639052","=""060590639052""","289868","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639053","CA","060590639053","=""060590639053""","266109","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639061","CA","060590639061","=""060590639061""","271714","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639062","CA","060590639062","=""060590639062""","280924","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639063","CA","060590639063","=""060590639063""","288145","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639071","CA","060590639071","=""060590639071""","290512","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639072","CA","060590639072","=""060590639072""","320719","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639073","CA","060590639073","=""060590639073""","279616","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639081","CA","060590639081","=""060590639081""","331242","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639082","CA","060590639082","=""060590639082""","329688","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639083","CA","060590639083","=""060590639083""","333626","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639084","CA","060590639084","=""060590639084""","318666","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740031","CA","060590740031","=""060590740031""","323110","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740041","CA","060590740041","=""060590740041""","305645","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740042","CA","060590740042","=""060590740042""","322132","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740043","CA","060590740043","=""060590740043""","322781","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740044","CA","060590740044","=""060590740044""","328549","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740051","CA","060590740051","=""060590740051""","255358","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740052","CA","060590740052","=""060590740052""","264893","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740053","CA","060590740053","=""060590740053""","284771","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740054","CA","060590740054","=""060590740054""","287989","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740061","CA","060590740061","=""060590740061""","322070","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740062","CA","060590740062","=""060590740062""","325120","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740063","CA","060590740063","=""060590740063""","301803","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741021","CA","060590741021","=""060590741021""","277625","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741022","CA","060590741022","=""060590741022""","271255","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741023","CA","060590741023","=""060590741023""","297054","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741031","CA","060590741031","=""060590741031""","295483","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741032","CA","060590741032","=""060590741032""","287956","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741033","CA","060590741033","=""060590741033""","266410","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741061","CA","060590741061","=""060590741061""","276936","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741062","CA","060590741062","=""060590741062""","286214","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741063","CA","060590741063","=""060590741063""","281001","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741071","CA","060590741071","=""060590741071""","303588","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741072","CA","060590741072","=""060590741072""","315144","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741073","CA","060590741073","=""060590741073""","305474","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741081","CA","060590741081","=""060590741081""","284755","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741082","CA","060590741082","=""060590741082""","261744","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741091","CA","060590741091","=""060590741091""","278002","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741092","CA","060590741092","=""060590741092""","268935","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741101","CA","060590741101","=""060590741101""","273780","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741102","CA","060590741102","=""060590741102""","247658","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741111","CA","060590741111","=""060590741111""","283791","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741112","CA","060590741112","=""060590741112""","292656","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741113","CA","060590741113","=""060590741113""","246298","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590742001","CA","060590742001","=""060590742001""","318162","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590742002","CA","060590742002","=""060590742002""","320871","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590742003","CA","060590742003","=""060590742003""","302166","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590742004","CA","060590742004","=""060590742004""","285129","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590743001","CA","060590743001","=""060590743001""","277692","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590743002","CA","060590743002","=""060590743002""","314919","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590744031","CA","060590744031","=""060590744031""","365405","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590744032","CA","060590744032","=""060590744032""","332779","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590744051","CA","060590744051","=""060590744051""","382876","2021","2010","EPA Smart Location Database","California (State)"
