"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","040190047192","AZ","040190047192","=""040190047192""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047193","AZ","040190047193","=""040190047193""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047194","AZ","040190047194","=""040190047194""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047201","AZ","040190047201","=""040190047201""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047202","AZ","040190047202","=""040190047202""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047211","AZ","040190047211","=""040190047211""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047212","AZ","040190047212","=""040190047212""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047213","AZ","040190047213","=""040190047213""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047221","AZ","040190047221","=""040190047221""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047222","AZ","040190047222","=""040190047222""","791.26","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047231","AZ","040190047231","=""040190047231""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047232","AZ","040190047232","=""040190047232""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047233","AZ","040190047233","=""040190047233""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047241","AZ","040190047241","=""040190047241""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047242","AZ","040190047242","=""040190047242""","1113.13","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047251","AZ","040190047251","=""040190047251""","933.42","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047252","AZ","040190047252","=""040190047252""","624.96","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047261","AZ","040190047261","=""040190047261""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047262","AZ","040190047262","=""040190047262""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040190047263","AZ","040190047263","=""040190047263""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040194105011","AZ","040194105011","=""040194105011""","767.12","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040194105021","AZ","040194105021","=""040194105021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040194105031","AZ","040194105031","=""040194105031""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040194105032","AZ","040194105032","=""040194105032""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040194704001","AZ","040194704001","=""040194704001""","742.98","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040194704002","AZ","040194704002","=""040194704002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040194704003","AZ","040194704003","=""040194704003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040194704004","AZ","040194704004","=""040194704004""","510.97","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040194705001","AZ","040194705001","=""040194705001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040194705002","AZ","040194705002","=""040194705002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040199406001","AZ","040199406001","=""040199406001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040199406002","AZ","040199406002","=""040199406002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040199407001","AZ","040199407001","=""040199407001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040199407002","AZ","040199407002","=""040199407002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040199408001","AZ","040199408001","=""040199408001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040199408002","AZ","040199408002","=""040199408002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040199408003","AZ","040199408003","=""040199408003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040199409001","AZ","040199409001","=""040199409001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040199410001","AZ","040199410001","=""040199410001""","229.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040199410002","AZ","040199410002","=""040199410002""","301.75","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040210002011","AZ","040210002011","=""040210002011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040210002012","AZ","040210002012","=""040210002012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
