"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","040136137003","AZ","040136137003","=""040136137003""","66.75","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136138001","AZ","040136138001","=""040136138001""","78.71","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136138002","AZ","040136138002","=""040136138002""","93.84","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136139001","AZ","040136139001","=""040136139001""","85.77","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136139002","AZ","040136139002","=""040136139002""","71.67","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136139003","AZ","040136139003","=""040136139003""","79.80","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136140001","AZ","040136140001","=""040136140001""","73.31","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136140002","AZ","040136140002","=""040136140002""","71.25","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136140003","AZ","040136140003","=""040136140003""","80.23","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136141001","AZ","040136141001","=""040136141001""","70.28","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136141002","AZ","040136141002","=""040136141002""","63.42","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136141003","AZ","040136141003","=""040136141003""","57.84","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136141004","AZ","040136141004","=""040136141004""","60.74","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136142001","AZ","040136142001","=""040136142001""","63.50","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136142002","AZ","040136142002","=""040136142002""","73.81","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136142003","AZ","040136142003","=""040136142003""","63.82","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136143001","AZ","040136143001","=""040136143001""","77.09","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136143002","AZ","040136143002","=""040136143002""","89.66","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136143003","AZ","040136143003","=""040136143003""","76.13","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136144001","AZ","040136144001","=""040136144001""","88.91","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136144002","AZ","040136144002","=""040136144002""","87.56","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136144003","AZ","040136144003","=""040136144003""","75.92","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136145001","AZ","040136145001","=""040136145001""","83.89","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136145002","AZ","040136145002","=""040136145002""","66.60","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136145003","AZ","040136145003","=""040136145003""","100.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136145004","AZ","040136145004","=""040136145004""","84.40","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136146011","AZ","040136146011","=""040136146011""","53.72","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136146012","AZ","040136146012","=""040136146012""","88.94","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136146013","AZ","040136146013","=""040136146013""","87.34","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136146021","AZ","040136146021","=""040136146021""","76.30","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136146022","AZ","040136146022","=""040136146022""","85.56","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136146023","AZ","040136146023","=""040136146023""","75.05","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136147001","AZ","040136147001","=""040136147001""","65.03","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136147002","AZ","040136147002","=""040136147002""","82.77","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136148001","AZ","040136148001","=""040136148001""","83.40","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136148002","AZ","040136148002","=""040136148002""","79.89","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136148003","AZ","040136148003","=""040136148003""","72.75","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136149001","AZ","040136149001","=""040136149001""","79.02","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136149002","AZ","040136149002","=""040136149002""","57.47","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136149003","AZ","040136149003","=""040136149003""","77.88","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136150011","AZ","040136150011","=""040136150011""","68.40","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136150012","AZ","040136150012","=""040136150012""","83.07","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136150013","AZ","040136150013","=""040136150013""","58.80","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136150021","AZ","040136150021","=""040136150021""","N/A","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136150022","AZ","040136150022","=""040136150022""","69.57","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136150023","AZ","040136150023","=""040136150023""","64.88","2019-2023","2022","Census","Arizona (State)"
