"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within 45 Minutes Auto Travel Time","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5ar","TimeFrame","GeoVintage","Source","Location"
"Block Group","040030007002","AZ","040030007002","=""040030007002""","1028","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007003","AZ","040030007003","=""040030007003""","1220","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030007004","AZ","040030007004","=""040030007004""","1040","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008001","AZ","040030008001","=""040030008001""","1030","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008002","AZ","040030008002","=""040030008002""","1442","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008003","AZ","040030008003","=""040030008003""","1439","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030008004","AZ","040030008004","=""040030008004""","1073","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009011","AZ","040030009011","=""040030009011""","1493","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009012","AZ","040030009012","=""040030009012""","1532","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009013","AZ","040030009013","=""040030009013""","1573","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009014","AZ","040030009014","=""040030009014""","1439","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009021","AZ","040030009021","=""040030009021""","1495","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009022","AZ","040030009022","=""040030009022""","1512","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030009023","AZ","040030009023","=""040030009023""","1396","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030010001","AZ","040030010001","=""040030010001""","760","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030010002","AZ","040030010002","=""040030010002""","1723","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011001","AZ","040030011001","=""040030011001""","1252","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011002","AZ","040030011002","=""040030011002""","511","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030011003","AZ","040030011003","=""040030011003""","933","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012001","AZ","040030012001","=""040030012001""","116","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012002","AZ","040030012002","=""040030012002""","912","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012003","AZ","040030012003","=""040030012003""","685","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013001","AZ","040030013001","=""040030013001""","989","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013002","AZ","040030013002","=""040030013002""","1586","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013003","AZ","040030013003","=""040030013003""","2102","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013004","AZ","040030013004","=""040030013004""","1170","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013005","AZ","040030013005","=""040030013005""","475","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014011","AZ","040030014011","=""040030014011""","2887","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014012","AZ","040030014012","=""040030014012""","2926","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014013","AZ","040030014013","=""040030014013""","1813","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014021","AZ","040030014021","=""040030014021""","565","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014022","AZ","040030014022","=""040030014022""","289","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014023","AZ","040030014023","=""040030014023""","2200","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015011","AZ","040030015011","=""040030015011""","4108","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015012","AZ","040030015012","=""040030015012""","4252","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015013","AZ","040030015013","=""040030015013""","3698","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015021","AZ","040030015021","=""040030015021""","3546","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015022","AZ","040030015022","=""040030015022""","4116","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015023","AZ","040030015023","=""040030015023""","3866","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016011","AZ","040030016011","=""040030016011""","3256","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016012","AZ","040030016012","=""040030016012""","3796","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016013","AZ","040030016013","=""040030016013""","4476","2021","2010","EPA Smart Location Database","Arizona (State)"
