"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Pedestrian-oriented Road Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d3apo","TimeFrame","GeoVintage","Source","Location"
"Block Group","040030012001","AZ","040030012001","=""040030012001""","0.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012002","AZ","040030012002","=""040030012002""","5.97","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030012003","AZ","040030012003","=""040030012003""","0.38","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013001","AZ","040030013001","=""040030013001""","3.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013002","AZ","040030013002","=""040030013002""","7.32","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013003","AZ","040030013003","=""040030013003""","0.70","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013004","AZ","040030013004","=""040030013004""","0.53","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030013005","AZ","040030013005","=""040030013005""","0.18","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014011","AZ","040030014011","=""040030014011""","8.84","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014012","AZ","040030014012","=""040030014012""","9.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014013","AZ","040030014013","=""040030014013""","0.11","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014021","AZ","040030014021","=""040030014021""","0.84","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014022","AZ","040030014022","=""040030014022""","0.02","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030014023","AZ","040030014023","=""040030014023""","0.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015011","AZ","040030015011","=""040030015011""","20.01","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015012","AZ","040030015012","=""040030015012""","27.88","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015013","AZ","040030015013","=""040030015013""","21.19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015021","AZ","040030015021","=""040030015021""","21.70","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015022","AZ","040030015022","=""040030015022""","26.65","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015023","AZ","040030015023","=""040030015023""","16.73","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016011","AZ","040030016011","=""040030016011""","17.57","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016012","AZ","040030016012","=""040030016012""","22.54","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016013","AZ","040030016013","=""040030016013""","12.19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016021","AZ","040030016021","=""040030016021""","5.32","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016022","AZ","040030016022","=""040030016022""","12.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016023","AZ","040030016023","=""040030016023""","37.14","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016024","AZ","040030016024","=""040030016024""","23.82","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017011","AZ","040030017011","=""040030017011""","11.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017012","AZ","040030017012","=""040030017012""","16.44","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017013","AZ","040030017013","=""040030017013""","17.64","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017014","AZ","040030017014","=""040030017014""","14.16","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017021","AZ","040030017021","=""040030017021""","0.78","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017022","AZ","040030017022","=""040030017022""","18.48","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017031","AZ","040030017031","=""040030017031""","2.29","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017032","AZ","040030017032","=""040030017032""","20.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018001","AZ","040030018001","=""040030018001""","12.62","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018002","AZ","040030018002","=""040030018002""","11.12","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018003","AZ","040030018003","=""040030018003""","13.32","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018004","AZ","040030018004","=""040030018004""","13.92","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019001","AZ","040030019001","=""040030019001""","16.66","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019002","AZ","040030019002","=""040030019002""","7.42","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019003","AZ","040030019003","=""040030019003""","10.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030019004","AZ","040030019004","=""040030019004""","15.24","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020011","AZ","040030020011","=""040030020011""","4.84","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020012","AZ","040030020012","=""040030020012""","7.25","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020013","AZ","040030020013","=""040030020013""","8.43","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020021","AZ","040030020021","=""040030020021""","4.58","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020022","AZ","040030020022","=""040030020022""","4.88","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030020023","AZ","040030020023","=""040030020023""","1.55","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021001","AZ","040030021001","=""040030021001""","0.51","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021002","AZ","040030021002","=""040030021002""","2.07","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030021003","AZ","040030021003","=""040030021003""","0.36","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001001","AZ","040050001001","=""040050001001""","16.23","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001002","AZ","040050001002","=""040050001002""","17.41","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050001003","AZ","040050001003","=""040050001003""","7.32","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050002001","AZ","040050002001","=""040050002001""","5.95","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050002002","AZ","040050002002","=""040050002002""","11.21","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003001","AZ","040050003001","=""040050003001""","12.34","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003002","AZ","040050003002","=""040050003002""","19.85","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003003","AZ","040050003003","=""040050003003""","35.19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003004","AZ","040050003004","=""040050003004""","11.34","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004001","AZ","040050004001","=""040050004001""","17.28","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004002","AZ","040050004002","=""040050004002""","42.53","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004003","AZ","040050004003","=""040050004003""","15.90","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004004","AZ","040050004004","=""040050004004""","22.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004005","AZ","040050004005","=""040050004005""","27.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005001","AZ","040050005001","=""040050005001""","3.86","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005002","AZ","040050005002","=""040050005002""","29.06","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005003","AZ","040050005003","=""040050005003""","18.93","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005004","AZ","040050005004","=""040050005004""","20.48","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005005","AZ","040050005005","=""040050005005""","14.64","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006001","AZ","040050006001","=""040050006001""","5.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006002","AZ","040050006002","=""040050006002""","4.79","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006003","AZ","040050006003","=""040050006003""","13.87","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006004","AZ","040050006004","=""040050006004""","13.05","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050007001","AZ","040050007001","=""040050007001""","7.95","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050007002","AZ","040050007002","=""040050007002""","13.40","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008001","AZ","040050008001","=""040050008001""","33.65","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008002","AZ","040050008002","=""040050008002""","14.72","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008003","AZ","040050008003","=""040050008003""","7.26","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009001","AZ","040050009001","=""040050009001""","5.34","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009002","AZ","040050009002","=""040050009002""","6.13","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009003","AZ","040050009003","=""040050009003""","10.42","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010001","AZ","040050010001","=""040050010001""","22.02","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010002","AZ","040050010002","=""040050010002""","17.22","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010003","AZ","040050010003","=""040050010003""","28.21","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011011","AZ","040050011011","=""040050011011""","5.88","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011012","AZ","040050011012","=""040050011012""","15.13","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011013","AZ","040050011013","=""040050011013""","11.32","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011021","AZ","040050011021","=""040050011021""","12.19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011022","AZ","040050011022","=""040050011022""","8.66","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011023","AZ","040050011023","=""040050011023""","28.81","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011024","AZ","040050011024","=""040050011024""","14.11","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050012001","AZ","040050012001","=""040050012001""","6.34","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050012002","AZ","040050012002","=""040050012002""","22.05","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013011","AZ","040050013011","=""040050013011""","6.37","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013012","AZ","040050013012","=""040050013012""","3.61","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013013","AZ","040050013013","=""040050013013""","0.74","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013021","AZ","040050013021","=""040050013021""","1.65","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013022","AZ","040050013022","=""040050013022""","3.38","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013023","AZ","040050013023","=""040050013023""","1.43","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015001","AZ","040050015001","=""040050015001""","3.60","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015002","AZ","040050015002","=""040050015002""","1.52","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015003","AZ","040050015003","=""040050015003""","0.61","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050015004","AZ","040050015004","=""040050015004""","1.28","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016001","AZ","040050016001","=""040050016001""","1.51","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016002","AZ","040050016002","=""040050016002""","0.99","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050016003","AZ","040050016003","=""040050016003""","2.30","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017001","AZ","040050017001","=""040050017001""","2.40","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017002","AZ","040050017002","=""040050017002""","2.38","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017003","AZ","040050017003","=""040050017003""","1.65","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050017004","AZ","040050017004","=""040050017004""","2.28","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050020001","AZ","040050020001","=""040050020001""","1.01","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050020002","AZ","040050020002","=""040050020002""","0.46","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021001","AZ","040050021001","=""040050021001""","2.68","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021002","AZ","040050021002","=""040050021002""","25.69","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021003","AZ","040050021003","=""040050021003""","25.92","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021004","AZ","040050021004","=""040050021004""","4.98","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021005","AZ","040050021005","=""040050021005""","12.98","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050021006","AZ","040050021006","=""040050021006""","10.36","2021","2010","EPA Smart Location Database","Arizona (State)"
