"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Pct. of People Walking to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranw","TimeFrame","GeoVintage","Source","Location"
"Block Group","040210002172","AZ","040210002172","=""040210002172""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002181","AZ","040210002181","=""040210002181""","4.87","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002182","AZ","040210002182","=""040210002182""","1.60","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002191","AZ","040210002191","=""040210002191""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002192","AZ","040210002192","=""040210002192""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002193","AZ","040210002193","=""040210002193""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002201","AZ","040210002201","=""040210002201""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002202","AZ","040210002202","=""040210002202""","2.80","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002211","AZ","040210002211","=""040210002211""","1.49","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002212","AZ","040210002212","=""040210002212""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002221","AZ","040210002221","=""040210002221""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002222","AZ","040210002222","=""040210002222""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002223","AZ","040210002223","=""040210002223""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002224","AZ","040210002224","=""040210002224""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002231","AZ","040210002231","=""040210002231""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002241","AZ","040210002241","=""040210002241""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002242","AZ","040210002242","=""040210002242""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002243","AZ","040210002243","=""040210002243""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002251","AZ","040210002251","=""040210002251""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002261","AZ","040210002261","=""040210002261""","2.36","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002262","AZ","040210002262","=""040210002262""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002263","AZ","040210002263","=""040210002263""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002271","AZ","040210002271","=""040210002271""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002272","AZ","040210002272","=""040210002272""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002281","AZ","040210002281","=""040210002281""","2.33","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002291","AZ","040210002291","=""040210002291""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210002292","AZ","040210002292","=""040210002292""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003071","AZ","040210003071","=""040210003071""","0.62","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003091","AZ","040210003091","=""040210003091""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003092","AZ","040210003092","=""040210003092""","14.47","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003101","AZ","040210003101","=""040210003101""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003102","AZ","040210003102","=""040210003102""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003111","AZ","040210003111","=""040210003111""","19.29","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003112","AZ","040210003112","=""040210003112""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003121","AZ","040210003121","=""040210003121""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003122","AZ","040210003122","=""040210003122""","17.01","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003123","AZ","040210003123","=""040210003123""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003131","AZ","040210003131","=""040210003131""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003132","AZ","040210003132","=""040210003132""","13.61","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003133","AZ","040210003133","=""040210003133""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003151","AZ","040210003151","=""040210003151""","1.64","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210003152","AZ","040210003152","=""040210003152""","0.00","2019-2023","2022","Census","Arizona (State)"
