"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Road Network Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d3a","TimeFrame","GeoVintage","Source","Location"
"Block Group","040030015011","AZ","040030015011","=""040030015011""","25.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015012","AZ","040030015012","=""040030015012""","27.88","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015013","AZ","040030015013","=""040030015013""","21.31","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015021","AZ","040030015021","=""040030015021""","24.85","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015022","AZ","040030015022","=""040030015022""","26.95","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030015023","AZ","040030015023","=""040030015023""","19.92","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016011","AZ","040030016011","=""040030016011""","20.01","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016012","AZ","040030016012","=""040030016012""","23.47","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016013","AZ","040030016013","=""040030016013""","16.19","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016021","AZ","040030016021","=""040030016021""","9.28","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016022","AZ","040030016022","=""040030016022""","17.18","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016023","AZ","040030016023","=""040030016023""","37.14","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030016024","AZ","040030016024","=""040030016024""","23.82","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017011","AZ","040030017011","=""040030017011""","15.70","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017012","AZ","040030017012","=""040030017012""","18.60","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017013","AZ","040030017013","=""040030017013""","18.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017014","AZ","040030017014","=""040030017014""","16.63","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017021","AZ","040030017021","=""040030017021""","2.03","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017022","AZ","040030017022","=""040030017022""","23.71","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017031","AZ","040030017031","=""040030017031""","2.99","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030017032","AZ","040030017032","=""040030017032""","22.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018001","AZ","040030018001","=""040030018001""","13.88","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018002","AZ","040030018002","=""040030018002""","13.47","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018003","AZ","040030018003","=""040030018003""","16.34","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030018004","AZ","040030018004","=""040030018004""","17.79","2021","2010","EPA Smart Location Database","Arizona (State)"
