"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","National Walkability Index","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","natwalkind","TimeFrame","GeoVintage","Source","Location"
"Block Group","040050003004","AZ","040050003004","=""040050003004""","13.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004001","AZ","040050004001","=""040050004001""","11.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004002","AZ","040050004002","=""040050004002""","12.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004003","AZ","040050004003","=""040050004003""","15.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004004","AZ","040050004004","=""040050004004""","17.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004005","AZ","040050004005","=""040050004005""","12.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005001","AZ","040050005001","=""040050005001""","11.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005002","AZ","040050005002","=""040050005002""","12.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005003","AZ","040050005003","=""040050005003""","15.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005004","AZ","040050005004","=""040050005004""","15.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005005","AZ","040050005005","=""040050005005""","12.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006001","AZ","040050006001","=""040050006001""","4.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006002","AZ","040050006002","=""040050006002""","10.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006003","AZ","040050006003","=""040050006003""","8.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006004","AZ","040050006004","=""040050006004""","6.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050007001","AZ","040050007001","=""040050007001""","10.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050007002","AZ","040050007002","=""040050007002""","12.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008001","AZ","040050008001","=""040050008001""","18.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008002","AZ","040050008002","=""040050008002""","11.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008003","AZ","040050008003","=""040050008003""","14.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009001","AZ","040050009001","=""040050009001""","5.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009002","AZ","040050009002","=""040050009002""","5.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009003","AZ","040050009003","=""040050009003""","12.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010001","AZ","040050010001","=""040050010001""","14.50","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010002","AZ","040050010002","=""040050010002""","12.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010003","AZ","040050010003","=""040050010003""","17.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011011","AZ","040050011011","=""040050011011""","4.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011012","AZ","040050011012","=""040050011012""","12.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011013","AZ","040050011013","=""040050011013""","6.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011021","AZ","040050011021","=""040050011021""","14.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011022","AZ","040050011022","=""040050011022""","13.67","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011023","AZ","040050011023","=""040050011023""","16.83","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011024","AZ","040050011024","=""040050011024""","16.00","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050012001","AZ","040050012001","=""040050012001""","13.17","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050012002","AZ","040050012002","=""040050012002""","17.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013011","AZ","040050013011","=""040050013011""","6.33","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013012","AZ","040050013012","=""040050013012""","6.83","2021","2010","EPA Smart Location Database","Arizona (State)"
